New news,Time,Link
Khai mạc huấn luyện Trung đội tự vệ Trường năm 2025,04/06/2025 03:43 CH,https://www.utc.edu.vn/khai-mac-huan-luyen-trung-doi-tu-ve-truong-nam-2025
Thông báo kế hoạch tài trợ nghiên cứu cơ bản năm 2025,04/06/2025 09:30 SA,https://www.utc.edu.vn/thong-bao-ke-hoach-tai-tro-nghien-cuu-co-ban-nam-2025
Tổ chức Hội thảo khoa học “Nâng cao hiệu quả hoạt động của Quỹ Phát triển Khoa học và Công nghệ Quốc gia” tại TP. Hồ Chí Minh,04/06/2025 09:22 SA,https://www.utc.edu.vn/to-chuc-hoi-thao-khoa-hoc-nang-cao-hieu-qua-hoat-dong-cua-quy-phat-trien-khoa-hoc-va-cong-nghe-quoc-gia-tai-tp-ho-chi-minh
Hội nghị tổng kết NCKH sinh viên năm học 2024-2025 (Phiên toàn thể),28/05/2025 11:48 SA,https://www.utc.edu.vn/hoi-nghi-tong-ket-nckh-sinh-vien-nam-hoc-2024-2025-phien-toan-the-
Trường Đại học Giao thông vận tải ký kết Biên bản ghi nhớ hợp tác với  Dassault Systèmes Việt Nam,27/05/2025 11:29 SA,https://www.utc.edu.vn/truong-dai-hoc-giao-thong-van-tai-ky-ket-bien-ban-ghi-nho-hop-tac-voi-dassault-systemes-viet-nam
Lễ trao bằng tốt nghiệp cho sinh viên Chương trình liên kết quốc tế ngành Quản trị Kinh doanh với Trường Đại học EM Normandie (EMN) của Pháp,26/05/2025 04:22 CH,https://www.utc.edu.vn/le-trao-bang-tot-nghiep-cho-sinh-vien-chuong-trinh-lien-ket-quoc-te-nganh-quan-tri-kinh-doanh-voi-truong-dai-hoc-em-normandie-emn-cua-phap
Tổng kết các hoạt động thi Olympic sinh viên năm học 2024 - 2025,23/05/2025 03:04 CH,https://www.utc.edu.vn/tong-ket-cac-hoat-dong-thi-olympic-sinh-vien-nam-hoc-2024-2025
"Đại hội đại biểu Đảng bộ Trường Đại học Giao thông vận tải lần thứ lần thứ XXXI, nhiệm kỳ 2025 – 2030",22/05/2025 11:06 SA,https://www.utc.edu.vn/dai-hoi-dai-bieu-dang-bo-truong-dai-hoc-giao-thong-van-tai-lan-thu-lan-thu-xxxi-nhiem-ky-2025-2030
Lễ ký kết thoả thuận hợp tác giữa Trường Đại học Giao thông vận tải (UTC) và Trường Đại học EM Normandie (EMN),19/05/2025 01:40 CH,https://www.utc.edu.vn/le-ky-ket-thoa-thuan-hop-tac-giua-truong-dai-hoc-giao-thong-van-tai-utc-va-emn-normandie-business-school-emn-
Trường Đại học Giao thông vận tải  ký kết hợp tác với Viện Giáo dục Đại học Úc,19/05/2025 01:27 CH,https://www.utc.edu.vn/truong-dai-hoc-giao-thong-van-tai-ky-ket-hop-tac-voi-vien-giao-duc-dai-hoc-uc
Trường Đại học Giao thông vận tải tham gia Ngày hội Khoa học và Công nghệ Việt Nam,17/05/2025 09:12 SA,https://www.utc.edu.vn/truong-dai-hoc-giao-thong-van-tai-tham-gia-ngay-hoi-khoa-hoc-va-cong-nghe-viet-nam
"Lễ trao bằng Tiến sĩ và Thạc sĩ, tháng  5 năm 2025",16/05/2025 09:14 SA,https://www.utc.edu.vn/le-trao-bang-tien-si-thac-si-5-2025
Bế mạc đánh giá ngoài 03 chương trình đào tạo (CTĐT) theo tiêu chuẩn AUN-QA năm 2025,15/05/2025 09:18 SA,https://www.utc.edu.vn/be-mac-danh-gia-ngoai-03-chuong-trinh-dao-tao-ctdt-theo-tieu-chuan-aun-qa-nam-2025
Khai mạc đánh giá ngoài 03 chương trình đào tạo (CTĐT) theo tiêu chuẩn AUN-QA năm 2025,13/05/2025 03:48 CH,https://www.utc.edu.vn/khai-mac-danh-gia-ngoai-03-chuong-trinh-dao-tao-ctdt-theo-tieu-chuan-aun-qa-nam-2025
Tổng kết và trao giải Kỳ thi Olympic Cơ học toàn quốc lần thứ 35,11/05/2025 08:15 CH,https://www.utc.edu.vn/tong-ket-va-trao-giai-ky-thi-olympic-co-hoc-toan-quoc-lan-thu-35
Hội nghị tổng kết NCKH sinh viên năm học 2024-2025 (Phiên tiểu ban),08/05/2025 09:54 SA,https://www.utc.edu.vn/hoi-nghi-tong-ket-nckh-sinh-vien-nam-hoc-2024-2025-phien-tieu-ban-
Tọa đàm khoa học chủ đề “Các vấn đề tiêu chuẩn cho đường sắt hiện đại – Nhu cầu thực tiễn của Việt Nam và kinh nghiệm thế giới” ,06/05/2025 11:27 SA,https://www.utc.edu.vn/toa-dam-khoa-hoc-chu-de-cac-van-de-tieu-chuan-cho-duong-sat-hien-dai-nhu-cau-thuc-tien-cua-viet-nam-va-kinh-nghiem-the-gioi-
