Name,Price,Original price,Deal,Link
iPhone 16 Pro Max 256GB | Chính hãng VN/A,30.490.000đ,34.990.000đ,Giảm 13%,https://cellphones.com.vn/iphone-16-pro-max.html
Samsung Galaxy S25 256GB,19.690.000đ,22.990.000đ,Giảm 14%,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25.html
Xiaomi 14T Pro 12GB 512GB,16.990.000đ,17.990.000đ,Giảm 6%,https://cellphones.com.vn/xiaomi-14t-pro.html
Samsung Galaxy S25 Ultra 12GB 256GB,28.490.000đ,33.990.000đ,Giảm 16%,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-ultra.html
iPhone 15 128GB | Chính hãng VN/A,15.790.000đ,19.990.000đ,Giảm 21%,https://cellphones.com.vn/iphone-15.html
OPPO FIND N5,44.990.000đ,,,https://cellphones.com.vn/dien-thoai-oppo-find-n5.html
OPPO Reno10 Pro+ 5G 12GB 256GB,10.990.000đ,19.990.000đ,Giảm 45%,https://cellphones.com.vn/oppo-reno10-pro-plus.html
iPhone 16 Pro 128GB | Chính hãng VN/A,24.990.000đ,28.990.000đ,Giảm 14%,https://cellphones.com.vn/iphone-16-pro.html
Xiaomi 14T 12GB 512GB,12.990.000đ,13.990.000đ,Giảm 7%,https://cellphones.com.vn/xiaomi-14t.html
Samsung Galaxy S24 FE 5G 8GB 128GB,12.890.000đ,16.990.000đ,Giảm 24%,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s24-fe.html
Samsung Galaxy S24 Ultra 12GB 256GB,23.990.000đ,33.990.000đ,Giảm 29%,https://cellphones.com.vn/samsung-galaxy-s24-ultra.html
Xiaomi POCO X7 Pro 5G 12GB 256GB - Chỉ có tại CellphoneS,8.990.000đ,9.990.000đ,Giảm 10%,https://cellphones.com.vn/dien-thoai-poco-x7-pro-5g.html
Xiaomi Redmi Note 14 6GB 128GB,4.790.000đ,4.990.000đ,Giảm 4%,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14.html
iPhone 16 Pro 512GB | Chính hãng VN/A,34.690.000đ,37.990.000đ,Giảm 9%,https://cellphones.com.vn/iphone-16-pro-512gb.html
iPhone 13 128GB | Chính hãng VN/A,11.690.000đ,13.990.000đ,Giảm 16%,https://cellphones.com.vn/iphone-13.html
Samsung Galaxy A56 5G 8GB 128GB,9.490.000đ,9.990.000đ,Giảm 5%,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a56.html
iPhone 16 128GB | Chính hãng VN/A,18.790.000đ,22.990.000đ,Giảm 18%,https://cellphones.com.vn/iphone-16.html
Xiaomi Redmi Note 14 5G 8GB 256GB,7.290.000đ,,,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14-5g.html
Nubia Neo 3 4G 8GB 128GB,3.990.000đ,4.490.000đ,Giảm 11%,https://cellphones.com.vn/dien-thoai-nubia-neo-3-4g.html
iPhone 14 128GB  | Chính hãng VN/A,12.750.000đ,14.990.000đ,Giảm 15%,https://cellphones.com.vn/iphone-14.html
