Name_product,New_price,Old_proce,Deal,Gift_detail,Number_of_review,Link_product
iPhone 16 Pro Max 256GB Chính Hãng VN/A,"29,990,000 ₫","35,990,000 ₫",17%,,(69 đánh giá),https://clickbuy.com.vn/iphone-16-pro-max.html
Samsung Galaxy S25 Ultra (5G) 12GB 256GB - 1 đổi 1 12 tháng,"24,990,000 ₫","33,990,000 ₫",25%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(48 đánh giá),https://clickbuy.com.vn/samsung-galaxy-s25-ultra.html
Samsung Galaxy S24 Ultra (5G) 12GB 256GB - 1 đổi 1 12 tháng,"21,490,000 ₫","33,990,000 ₫",35%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(69 đánh giá),https://clickbuy.com.vn/samsung-galaxy-s24-ultra.html
TECNO Camon 40 (8+8GB/256GB) - Lỗi 1 đổi 1 12 tháng,"5,490,000 ₫","6,490,000 ₫",12%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(16 đánh giá),https://clickbuy.com.vn/tecno-camon-40-8gb-256gb-loi-1-doi-1-12-thang.html
Xiaomi Redmi Note 14 - 1 Đổi 1 12 Tháng,"4,090,000 ₫","4,990,000 ₫",14%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(83 đánh giá),https://clickbuy.com.vn/xiaomi-redmi-note-14-4g-chinh-hang.html
iPhone 16 Plus 128GB Chính Hãng VN/A,"21,890,000 ₫","25,990,000 ₫",16%,,(49 đánh giá),https://clickbuy.com.vn/iphone-16-plus.html
TECNO Camon 40 Pro (8+8GB/256GB) - 1 Đổi 1 12 Tháng,"5,790,000 ₫","6,990,000 ₫",14%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(14 đánh giá),https://clickbuy.com.vn/tecno-camon-40-pro-chinh-hang.html
iPhone 16 Pro 128GB Chính Hãng VN/A,"24,590,000 ₫",,0%,,(52 đánh giá),https://clickbuy.com.vn/iphone-16-pro.html
Xiaomi 14T 12GB 512GB - 1 Đổi 1 12 Tháng,"12,090,000 ₫","13,990,000 ₫",11%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(34 đánh giá),https://clickbuy.com.vn/xiaomi-14t-chinh-hang.html
Samsung Galaxy A56 (5G) 8GB 128GB - 1 Đổi 1 12 Tháng,"8,590,000 ₫","9,990,000 ₫",12%,[Từ 07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(32 đánh giá),https://clickbuy.com.vn/samsung-galaxy-a56-5g-chinh-hang.html
Samsung Galaxy A16 (4G) 4GB 128GB - 1 Đổi 1 12 Tháng,"3,990,000 ₫","5,890,000 ₫",31%,[Từ 07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(23 đánh giá),https://clickbuy.com.vn/samsung-galaxy-a16-4g.html
Xiaomi 14T Pro - 1 Đổi 1 12 Tháng,"13,990,000 ₫","17,990,000 ₫",21%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(54 đánh giá),https://clickbuy.com.vn/xiaomi-14t-pro-chinh-hang.html
Samsung Galaxy A36 (5G) 8GB 128GB - 1 Đổi 1 12 Tháng,"6,990,000 ₫","8,290,000 ₫",13%,[Từ 07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(31 đánh giá),https://clickbuy.com.vn/samsung-galaxy-a36-chinh-hang.html
iPhone 16 128GB Chính Hãng VN/A,"18,790,000 ₫","22,990,000 ₫",18%,,(54 đánh giá),https://clickbuy.com.vn/iphone-16.html
Samsung Galaxy S25 (5G) 12GB 256GB - 1 đổi 1 12 tháng,"17,990,000 ₫","22,990,000 ₫",20%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(54 đánh giá),https://clickbuy.com.vn/samsung-galaxy-s25.html
Xiaomi 15 Ultra (5G) 16GB 512GB - 1 Đổi 1 12 Tháng,"26,990,000 ₫","31,990,000 ₫",14%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(33 đánh giá),https://clickbuy.com.vn/xiaomi-15-ultra-chinh-hang.html
Xiaomi Redmi Note 13 6GB 128GB - 1 Đổi 1 12 Tháng,"3,490,000 ₫","4,890,000 ₫",25%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(70 đánh giá),https://clickbuy.com.vn/xiaomi-redmi-note13-chinh-hang.html
Samsung Galaxy Z Fold6 (5G) 12GB 256GB - 1 Đổi 1 12 Tháng,"32,990,000 ₫","43,990,000 ₫",24%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(29 đánh giá),https://clickbuy.com.vn/galaxy-z-fold-6.html
TECNO Spark Go 1 (4+4GB/64GB) - 1 Đổi 1 12 Tháng,"1,990,000 ₫","2,490,000 ₫",16%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(47 đánh giá),https://clickbuy.com.vn/tecno-spark-go1.html
Samsung Galaxy S25 Plus (5G) 12GB 256GB - 1 đổi 1 12 tháng,"20,590,000 ₫","26,990,000 ₫",22%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(49 đánh giá),https://clickbuy.com.vn/samsung-galaxy-s25-plus.html
iPhone 16e 128GB Chính Hãng VN/A,"15,990,000 ₫","16,990,000 ₫",6%,,(4 đánh giá),https://clickbuy.com.vn/iphone-16e.html
iPhone 15 128GB VN/A - Tặng BH rơi vỡ vào nước,"15,190,000 ₫","23,990,000 ₫",37%,,(23 đánh giá),https://clickbuy.com.vn/iphone-15.html
Xiaomi Redmi Note 13 8GB 128GB - 1 Đổi 1 12 Tháng,"3,890,000 ₫","5,290,000 ₫",23%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(73 đánh giá),https://clickbuy.com.vn/xiaomi-redmi-note13-8gb-128gb-chinh-hang.html
TECNO Pova 6 (8+8GB/256GB) - 1 Đổi 1 12 Tháng,"5,290,000 ₫","6,490,000 ₫",15%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(20 đánh giá),https://clickbuy.com.vn/tecno-pova-6.html
Realme Note 60 4GB 64GB - 1 Đổi 1 12 Tháng,"2,590,000 ₫","3,090,000 ₫",16%,,(16 đánh giá),https://clickbuy.com.vn/realme-note-60.html
Samsung Galaxy A16 (5G) 8GB 128GB - 1 Đổi 1 12 Tháng,"5,090,000 ₫","6,090,000 ₫",15%,[Từ 07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(21 đánh giá),https://clickbuy.com.vn/samsung-galaxy-a16-5g.html
iPhone 15 Plus 128GB VN/A - Tặng BH rơi vỡ vào nước,"18,890,000 ₫","25,990,000 ₫",27%,,(25 đánh giá),https://clickbuy.com.vn/iphone-15-plus.html
iPhone 13 128GB chính hãng VN/A - Tặng BH rơi vỡ vào nước,"11,590,000 ₫","24,490,000 ₫",53%,,(285 đánh giá),https://clickbuy.com.vn/apple-iphone-13-128gb-chinh-hang-vn-a.html
Samsung Galaxy Z Flip6 (5G) 12GB 256GB - 1 Đổi 1 12 Tháng,"18,490,000 ₫","28,990,000 ₫",34%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(30 đánh giá),https://clickbuy.com.vn/galaxy-z-flip-6.html
Xiaomi Redmi 13C 4GB 128GB - 1 Đổi 1 12 Tháng,"2,390,000 ₫","3,590,000 ₫",31%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(49 đánh giá),https://clickbuy.com.vn/xiaomi-redmi-13c.html
iPhone 16 Pro Max 512GB Chính Hãng VN/A,"36,390,000 ₫",,0%,,(49 đánh giá),https://clickbuy.com.vn/iphone-16-pro-max-512gb.html
Samsung Galaxy M15 (5G) 4GB 128GB - 1 Đổi 1 12 Tháng,"3,690,000 ₫","4,990,000 ₫",26%,,(40 đánh giá),https://clickbuy.com.vn/samsung-galaxy-m15-5g-chinh-hang.html
iPhone 16 Pro 256GB Chính Hãng VN/A,"27,490,000 ₫","31,990,000 ₫",14%,,(51 đánh giá),https://clickbuy.com.vn/iphone-16-pro-256gb.html
iPhone 15 Pro Max 512GB VN/A - Tặng BH rơi vỡ vào nước,"30,990,000 ₫","45,990,000 ₫",33%,,(1 đánh giá),https://clickbuy.com.vn/iphone-15-pro-max-512gb.html
Xiaomi Redmi 14C - 1 Đổi 1 12 Tháng,"2,590,000 ₫","3,690,000 ₫",27%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(17 đánh giá),https://clickbuy.com.vn/xiaomi-redmi-14c.html
