Name,Price (new),Price (old),Price (original),Description,Sold,Discount,Discount Rate,Rating,Review Count,Author,Công ty phát hành,Ngày xuất bản,Loại bìa,Phương thức giao hàng Seller Delivery,Nhà xuất bản,Phiên bản sách,Kích thước,Dịch Giả,Số trang,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ (Made in),Chất liệu,Sản phẩm có được bảo hành không?,Bookcare,Ngôn ngữ
Sách - 50 Đề Minh Họa Tốt Nghiệp THPT 2025 - Môn Tiếng Anh,150000,200000,200000,"    50 Đề Minh Họa Tốt Nghiệp THPT 2025 - Môn Tiếng Anh   - Bản luyện đề trắc nghiệm 2025 theo định dạng mới nhất của bộ Giáo Dục.   - Các câu hỏi được thiết kế theo định hướng đánh giá năng lực,...",19,50000,25,5.0,3,Trang Anh,Aladanh,2023-12-21 14:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Dân Trí,,,,,,,,,,,
Lý Thuyết Trò Chơi,121500,179000,179000,"LÝ THUYẾT TRÒ CHƠIĐời người giống như trò chơi, mỗi bước đều phải cân nhắc xem đi như thế nào, đi về đâu, phải kết hợp nhiều yếu tố lại chúng ta mới có thể đưa ra được lựa chọn. Mà trong quá trình ch...",9363,57500,32,4.7,461,Trần Phách Hàm,1980 Books,2023-07-07 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,Phiên bản thường,13 x 20.5 cm,Vu Vũ,320,,,,,,,
"Túi giấy SDstationery Enjoy Every Moment 13.5x13.5 đựng quà, phụ kiện, mỹ phẩm, họa tiết hoa màu hồng ép kim trẻ trung",18000,18000,18000,"Túi giấy Enjoy Every Moment với thiết kế trang nhã, thích hợp dùng làm túi quà sinh nhật, túi quà tặng sự kiện, túi đựng trang sức, dùng cho các shop phụ kiện, mỹ phẩm…Làm từ giấy chất lượng cao cực ...",133,0,0,5.0,3,N/A,,,,,,,,,,SDstationery,Việt Nam,Việt Nam,<p>Giấy Kraft 150gsm</p>,Không,,
Dẫn Dắt Một Bầy Sói Hay Chăn Một Đàn Cừu,136000,195000,195000,"Trong cuộc chiến thu hút khách hàng, các doanh nghiệp đầu tư hàng triệu đô la để cải thiện trải nghiệm của khách hàng. Họ giao hàng nhanh hơn, tung ra các sản phẩm mới và không ngừng cải tiến giao diệ...",2333,59000,30,4.7,72,Tiffani Bova,1980 Books,2024-06-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,,"13 x 20,5cm",Trương Anh Tuấn,358,,,,,,Có,
Rèn Luyện Tư Duy Phản Biện,93200,139000,139000,"Như bạn có thể thấy, chìa khóa để trở thành một người có tư duy phản biện tốt chính là sự tự nhận thức. Bạn cần phải đánh giá trung thực những điều trước đây bạn nghĩ là đúng, cũng như quá trình suy n...",30743,45800,33,4.8,4830,Albert Rutherford,1980 Books,2019-12-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Phụ Nữ,Phiên bản thường,13 x 19 cm,Nguyễn Ngọc Anh,204,,,,,,,
Nghĩ khác - Làm khác,132000,179000,179000,"Bạn đã bao giờ cảm thấy bế tắc trong suy nghĩ của chính mình? Đó là những thời điểm, bạn đưa ra quyết định hành động với niềm tin rằng đó là lựa chọn đúng đắn, nhưng sau đó, khi mọi thứ sụp đổ, bạn n...",213,47000,26,5.0,7,GS. Trương Nguyện Thành ,Thái Hà,,,,Nhà Xuất Bản Công Thương,,15.5x24 cm,,344,,,,,,,
Sống cuộc đời giàu có nhất của bạn (Robin Sharma),148000,200000,200000,"Xã hội ngày nay đã nhồi vào tâm trí chúng ta một định nghĩa thành công nông cạn: một kiểu thành công mà dù có đạt được nó bạn cũng không bao giờ thấy thỏa mãn, mà thậm chí còn rơi vào trạng thái bức b...",146,52000,26,5.0,4,Robin Sharma,NXB Trẻ,2025-05-19 00:00:00,Bìa mềm,,NXB Trẻ,,19*26.4,Thiên Kim - Thanh Trâm - Vân Trình,496,,,,,,,
Sách - Búp Sen Xanh - Bìa Cứng - Tặng Kèm Obi + Postcard Hành Trình Cứu Nước - Độc Quyền Fahasa,99000,110000,110000,"Búp Sen Xanh“Búp Sen Xanh” là cuốn tiểu thuyết nổi tiếng nhất của nhà văn Sơn Tùng - người đã dành trọn cuộc đời m.ình để viết về Bác Hồ và các vị anh hùng, những nhà cách mạng lỗi lạc của dân tộc. T...",387,11000,10,4.8,43,Sơn Tùng,Nhà Xuất Bản Kim Đồng,2023-12-21 14:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Kim Đồng,,,,,,,,,,,Tiếng Việt
Tư duy dã tràng - Tim trí giao tranh,139200,160000,160000,"Cuốn sách là viên gạch nối chúng ta với nhau, với xã hội chung quanh, với môi trường toàn cầu, tạo nên một thói quen mà chúng ta đã mất đi hoặc chưa bao giờ có: đó là khả năng lập luận, khả năng minh ...",0,20800,13,0.0,0,Phan Văn Trường,NXB Trẻ,2025-04-24 00:00:00,Bìa mềm,,NXB Trẻ,,"19,3 x 23,5 cm",,332,,,,,,,
"Hồi Ký Nguyễn Thị Bình - Gia Đình, Bạn Bè và Đất Nước",151000,159000,159000,"Đây là cuốn hồi ký của bà Nguyễn Thị Bình, nguyên Phó Chủ tịch nước, nữ Bộ trưởng Ngoại giao đầu tiên, Trưởng đoàn đàm phán của Chính phủ Cách mạng Lâm thời Cộng hòa miền Nam Việt Nam tại Hòa đàm Par...",6,8000,5,0.0,0,Nguyễn Thị Bình,Alpha Books,,Bìa mềm,,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,,268,,,,,,,
