Diện tích,Phòng ngủ,WC,Giá gốc,Loại,Ngày đăng
15.000 m²,,,23000000000,Đất thổ cư,2025-06-18
15.000 m²,,,23000000000,Đất thổ cư,2025-06-18
100 m²,5 PN,7 WC,9500000000,"Nhà hẻm, ngõ",2025-06-18
37 m²,2 PN,2 WC,4250000000,"Nhà hẻm, ngõ",2025-06-18
"38,5 m²",2 PN,3 WC,2700000000,"Nhà hẻm, ngõ",2025-06-18
95 m²,3 PN,2 WC,8500000000,"Nhà hẻm, ngõ",2025-06-18
"316,1 m²",2 WC,,39000000000,"Nhà hẻm, ngõ",2025-06-18
656 m²,14 PN,14 WC,37000000000,Nhà mặt tiền,2025-06-18
27 m²,,,2500000000,"Nhà hẻm, ngõ",2025-06-18
53 m²,2 PN,2 WC,4850000000,"Nhà hẻm, ngõ",2025-06-18
60 m²,2 PN,2 WC,890000000,Nhà mặt tiền,2025-06-18
258.200 m²,,,13600000000,"Nhà hẻm, ngõ",2025-06-18
129 m²,,,30000000000,Nhà mặt tiền,2025-06-18
128 m²,2 PN,2 WC,16900000000,Nhà mặt tiền,2025-06-18
102 m²,14 PN,9 WC,18800000000,"Nhà hẻm, ngõ",2025-06-18
277 m²,,,22000000000,"Nhà hẻm, ngõ",2025-06-18
36 m²,4 PN,4 WC,2245000000,"Nhà hẻm, ngõ",2025-06-18
43 m²,3 PN,5 WC,13300000000,"Nhà hẻm, ngõ",2025-06-18
46 m²,,,3750000000,"Nhà hẻm, ngõ",2025-06-18
842 m²,,,22000000000,Đất thổ cư,2025-06-18
108 m²,4 PN,5 WC,17000000000,Nhà mặt tiền,2025-06-18
"42,1 m²",,,29000000000,"Nhà hẻm, ngõ",2025-06-18
52 m²,,,26800000000,Nhà mặt tiền,2025-06-18
"35,6 m²",4 PN,4 WC,3050000000,"Nhà hẻm, ngõ",2025-06-18
66 m²,,,36800000000,Nhà mặt tiền,2025-06-18
32 m²,,,7700000000,"Nhà hẻm, ngõ",2025-06-18
80 m²,,,29600000000,Nhà mặt tiền,2025-06-18
13 m²,,,3950000000,"Nhà hẻm, ngõ",2025-06-18
"57,3 m²",,,13000000000,"Nhà hẻm, ngõ",2025-06-18
"95,5 m²",4 PN,5 WC,9500000000,Nhà mặt tiền,2025-06-18
"83,3 m²",5 PN,3 WC,8300000000,Nhà mặt tiền,2025-06-18
"96,5 m²",3 PN,2 WC,550000000,Nhà mặt tiền,2025-06-18
120 m²,3 PN,2 WC,630000000,Nhà mặt tiền,2025-06-18
"35,2 m²",,,7350000000,"Nhà hẻm, ngõ",2025-06-18
40 m²,,,8200000000,Nhà mặt tiền,2025-06-18
150 m²,2 PN,2 WC,10800000000,Nhà mặt tiền,2025-06-18
60 m²,,,39500000000,Nhà mặt tiền,2025-06-18
136 m²,6 PN,6 WC,19500000000,Nhà mặt tiền,2025-06-18
240 m²,7 PN,6 WC,127000000000,"Nhà hẻm, ngõ",2025-06-18
36 m²,,,12600000000,Nhà mặt tiền,2025-06-18
37 m²,,,14600000000,"Nhà hẻm, ngõ",2025-06-18
88 m²,1 PN,1 WC,6200000000,"Nhà hẻm, ngõ",2025-06-18
"45,5 m²",2 PN,1 WC,1250000000,Chung cư,2025-06-18
85 m²,3 PN,2 WC,650000000,Nhà mặt tiền,2025-06-18
80 m²,,,15800000000,Nhà mặt tiền,2025-06-18
50 m²,,,6200000000,Nhà mặt tiền,2025-06-18
30 m²,2 PN,2 WC,1250000000,Nhà mặt tiền,2025-06-18
530 m²,,,9200000000,Nhà mặt tiền,2025-06-18
69 m²,6 PN,6 WC,22900000000,Nhà mặt tiền,2025-06-18
9.000 m²,,,180000000000,Nhà mặt tiền,2025-06-18
45 m²,,,14950000000,Nhà mặt tiền,2025-06-18
"45,6 m²",2 PN,3 WC,2040000000,"Nhà hẻm, ngõ",2025-06-18
179 m²,,,4650000000,Đất thổ cư,2025-06-18
47 m²,4 PN,4 WC,1980000000,"Nhà hẻm, ngõ",2025-06-18
108 m²,,,18500000000,Nhà mặt tiền,2025-06-18
"83,2 m²",,,4100000000,Đất thổ cư,2025-06-18
68 m²,2 PN,1 WC,3380000000,"Nhà hẻm, ngõ",2025-06-18
144 m²,,,123456789,"Nhà hẻm, ngõ",2025-06-18
41 m²,3 PN,3 WC,7380000000,"Nhà hẻm, ngõ",2025-06-18
"67,5 m²",20 PN,21 WC,30000000000,"Nhà hẻm, ngõ",2025-06-18
56 m²,10 PN,,14500000000,"Nhà hẻm, ngõ",2025-06-18
170 m²,,,13600000000,Chung cư,2025-06-18
36 m²,7 PN,5 WC,9800000000,"Nhà hẻm, ngõ",2025-06-18
64 m²,10 PN,5 WC,20900000000,Nhà mặt tiền,2025-06-18
120 m²,10 PN,,46800000000,Nhà mặt tiền,2025-06-18
67 m²,,,12800000000,"Nhà hẻm, ngõ",2025-06-18
22 m²,,,6500000000,Nhà mặt tiền,2025-06-18
234 m²,,,5900000000,"Biệt thự, Villa",2025-06-18
37 m²,4 PN,3 WC,8200000000,"Nhà hẻm, ngõ",2025-06-18
120 m²,,,3200000000,Đất thổ cư,2025-06-18
68 m²,3 PN,3 WC,7500000000,Nhà mặt tiền,2025-06-18
25 m²,2 PN,2 WC,4380000000,"Nhà hẻm, ngõ",2025-06-18
"52,5 m²",2 PN,2 WC,1600000000,"Nhà hẻm, ngõ",2025-06-18
272 m²,,,32500000000,Đất thổ cư,2025-06-18
"94,5 m²",1 PN,1 WC,35000000000,Nhà mặt tiền,2025-06-18
"61,6 m²",,,12000000000,"Nhà hẻm, ngõ",2025-06-18
2.006 m²,,,21500000000,Nhà mặt tiền,2025-06-18
125 m²,,,1050000000,Đất thổ cư,2025-06-18
364 m²,2 PN,2 WC,38000000000,Nhà mặt tiền,2025-06-18
"59,7 m²",5 PN,5 WC,15000000000,"Nhà hẻm, ngõ",2025-06-18
"41,6 m²",1 PN,1 WC,8000000000,Nhà mặt tiền,2025-06-18
18 m²,1 PN,1 WC,2700000000,"Nhà hẻm, ngõ",2025-06-18
58 m²,2 PN,2 WC,1900000000,Chung cư,2025-06-18
4.138 m²,,,6600000000,"Đất nông nghiệp, kho bãi",2025-06-18
36 m²,4 PN,4 WC,1950000000,"Nhà hẻm, ngõ",2025-06-18
"64,5 m²",4 PN,,16500000000,"Nhà hẻm, ngõ",2025-06-18
104 m²,2 PN,2 WC,2750000000,"Nhà hẻm, ngõ",2025-06-18
100 m²,2 PN,3 WC,1150000000,Nhà mặt tiền,2025-06-18
100 m²,,,5550000000,"Nhà hẻm, ngõ",2025-06-18
80 m²,5 PN,6 WC,39500000000,Nhà mặt tiền,2025-06-18
35 m²,,,4050000000,"Nhà hẻm, ngõ",2025-06-18
64 m²,,,11500000000,"Nhà hẻm, ngõ",2025-06-18
"109,2 m²",,,19200000000,Nhà mặt tiền,2025-06-18
56 m²,,,14800000000,Nhà mặt tiền,2025-06-18
65 m²,1 PN,2 WC,5500000000,"Nhà hẻm, ngõ",2025-06-18
40 m²,4 PN,3 WC,4150000000,"Nhà hẻm, ngõ",2025-06-18
87 m²,,,6300000000,Chung cư,2025-06-18
140 m²,,,33500000000,Nhà mặt tiền,2025-06-18
51 m²,,,8160000000,"Nhà hẻm, ngõ",2025-06-18
55 m²,4 PN,3 WC,3290000000,"Nhà hẻm, ngõ",2025-06-18
68 m²,3 PN,2 WC,2070000000,"Nhà hẻm, ngõ",2025-06-18
50 m²,4 PN,3 WC,2320000000,"Nhà hẻm, ngõ",2025-06-18
70 m²,4 PN,3 WC,2400000000,"Nhà hẻm, ngõ",2025-06-18
"53,7 m²",3 PN,3 WC,7500000000,"Nhà hẻm, ngõ",2025-06-18
180 m²,,,645000000,Đất thổ cư,2025-06-18
54 m²,4 PN,4 WC,7750000000,"Nhà hẻm, ngõ",2025-06-18
51 m²,3 PN,3 WC,1850000000,"Nhà hẻm, ngõ",2025-06-18
62 m²,4 PN,3 WC,2310000000,Nhà mặt tiền,2025-06-18
64 m²,4 PN,3 WC,1890000000,"Nhà hẻm, ngõ",2025-06-18
64 m²,5 PN,5 WC,5500000000,"Nhà hẻm, ngõ",2025-06-18
114 m²,2 PN,2 WC,2450000000,"Nhà hẻm, ngõ",2025-06-18
68 m²,3 PN,3 WC,2520000000,"Nhà hẻm, ngõ",2025-06-18
"42,6 m²",4 PN,3 WC,16800000000,Nhà mặt tiền,2025-06-18
65 m²,3 PN,2 WC,6580000000,"Nhà hẻm, ngõ",2025-06-18
61 m²,2 PN,2 WC,4390000000,Nhà mặt tiền,2025-06-18
74 m²,7 PN,7 WC,12200000000,"Nhà hẻm, ngõ",2025-06-18
300 m²,15 PN,16 WC,29500000000,Nhà mặt tiền,2025-06-18
152 m²,,,44080000000,"Biệt thự, Villa",2025-06-18
85 m²,,,3400000000,"Biệt thự, Villa",2025-06-18
600 m²,,,55000000000,Nhà mặt tiền,2025-06-18
80 m²,,,1600000000,"Nhà hẻm, ngõ",2025-06-18
40 m²,3 PN,2 WC,4500000000,"Nhà hẻm, ngõ",2025-06-18
