Name,Singer
KHÔNG ĐAU NỮA RỒI,"EM XINH SAY HI, 52Hz, Orange, Châu Bùi, Mỹ Mỹ, Pháp Kiều"
HỀ,"EM XINH SAY HI, Phương Mỹ Chi, Phương Ly, Pháo, Chi Xê, WEAN"
FAMOUS,ALLDAY PROJECT
WE BELONG TOGETHER,"EM XINH SAY HI, Miu Lê, Juky San, Dương Domic, Lyly, DANMY"
RED FLAG,"EM XINH SAY HI, Ngô Lan Hương, JSOL, Yeolan, LAMOON, Han Sara"
Còn Yêu Còn Thương Còn Chờ,"Du Uyên, Thưởng"
Tiến Tới Ước Mơ 2 (Vươn Mình Vượt Trội),"SOOBIN, Rhymastic, SlimV"
Outside,Cardi B
Billyeoon Goyangi (Do the Dance),ILLIT
DNA,NICKY
Không Điều Kiện ( unfair ),"Tường Duy, Coldzy"
Lemon Drop,ATEEZ
Killin' It Girl (feat. GloRilla),"J-Hope (BTS), Glorilla"
Ngược Lối,"HuyR, Neko Lê"
Different,LE SSERAFIM
Học Cách Yêu Em,"Phạm Đình Thái Ngân, Lou Hoàng"
Ai Lớn Cũng Phải,CAPTAIN BOY
Bông Hoa Nhài,JustaTee
TỪNG,"EM XINH SAY HI, Lyly, Lâm Bảo Ngọc, Liu Grace, Han Sara, DANMY"
CẦM KỲ THI HOẠ,"EM XINH SAY HI, Bích Phương, Tiên Tiên, Bảo Anh, Phương Mỹ Chi, LAMOON"
RUN,"EM XINH SAY HI, Châu Bùi, 52Hz, LyHan, Yeolan, Ánh Sáng AZA"
EASIER,"EM XINH SAY HI, MAIQUINN, Ngô Lan Hương, Muộii, Đào Tử A1J, Saabirose"
ĐỒNG DAO XINH GÁI,"EM XINH SAY HI, Quỳnh Anh Shyn, Miu Lê, Orange, Vũ Thảo My, Mỹ Mỹ"
EM XINH EM BLING,"EM XINH SAY HI, Pháo, Phương Ly, Juky San, Chi Xê, Hoàng Duyên"
Thiên Mệnh,"Quân A.P, Hải Đăng Doo"
Cà Phê Đắng Cùng Cuốn Tiểu Thuyết,"Xuân Định K.Y, ICM"
Khi 22,"Ricky Star, Blacka"
Chẳng Thể Nhắm Mắt,"Kewtiie, Hùng Huỳnh"
Nhịp Đập Con Tim,Kha
Những Câu Hỏi Lúc Nửa Đêm,"Changg, Trung Trần, NewL"
Trưởng Nữ Chạy Trốn (Vietnamese Concert Edition),Hoàng Thùy Linh
MÊ MUỘI / BÙA MÊ,"Chị Đẹp Đạp Gió Rẽ Sóng, Bùi Lan Hương, JAY CƯƠNG"
FXCK UP THE WORLD,"LISA, Future"
Vui Đét,"CoolKid, RHYDER, BAN, Duy B, TRIX"
Hoa Mặt Trời,Phan Mạnh Quỳnh
beautiful,"SIVAN, demxntia"
Những Kẻ Mộng Mơ,Lâm Bảo Ngọc
CUC HINH,"52Hz, Coldzy"
CATCH ME IF YOU CAN,"ANH TRAI SAY HI, Quang Hùng MasterD, Negav, Công Dương, NICKY"
"Tình Cờ (feat. CHARLES., Brown, KIMLONG & Duy Sơn)","SOOBIN, 16 Typh, Hà Lê, Hà Trần, Lil Wuyn, CHARLES., Brown, Kim Long"
Dừng Yêu (Remix),Myra Trần
Chấp Niệm,Nguyên Hà
Rồi Em Sẽ Gặp Một Chàng Trai Khác,"The Masked Singer, Hippohappy"
Ngập Ngừng,Pay
TOXIC,Đang Cập Nhật
Crush,IVE
The Mountain,Shawn Mendes
Sweet Dreams,Red Velvet
Trăng,"Rio, Nguyễn Trọng Tài"
Bạn Ơi (Original Soundtrack From Lật Mặt 6: Tấm Vé Định Mệnh),Myra Trần
She's So 2,NAM23
Như Lần Đầu,Nguyên Hà
Người Yêu Thơ,"Gin Tuấn Kiệt, Puka"
Vì Gặp Được Em Trong Giấc Mơ,N-JD
LẤY CHỒNG LÀ RAPPER,"Xesi, Ricky Star"
tâm,"Mer, Kriss Ngo"
Gọi Tên Một Nỗi Buồn,Lâm Bảo Ngọc
Nước Hoa,"Kay Trần, Cường Seven, Kiên Ứng, SOOBIN"
HÚT,"ANH TRAI SAY HI, Lou Hoàng, Pháp Kiều, WEAN, Quân A.P, Hải Đăng Doo, Ali Hoàng Dương, NICKY"
Một Cơn Mơ Qua,"Quốc Bảo, Hồ Tiến Đạt"
Ngày Đẹp Trời Để Nói Chia Tay,Lou Hoàng
Lệ Cay 3,Du Thiên
Chúng Ta Làm Bạn Được Không (Winter Version),Thiều Bảo Trâm
Xa Em Vài Hôm,"Isaac, Đạt G"
Đại Minh Tinh,"Văn Mai Hương, Hứa Kim Tuyền"
Anh Sẽ Hát Pop Để Nuôi Em,Haisam
TRỪ,"RAP VIỆT, Dangrangto, VCC Left Hand"
Vương,Siu Black
Ngược Chiều Yêu Thương,"Tú Anh, Nguyễn Hồng Thuận"
Kẻ Phản Bội,"DREAM (Việt Nam), An Trần, leo"
Ý Trời,Hustlang Robber
Đẹp Trai,"gung0cay, Phạm Quốc Thành"
Mamacita,Chase Atlantic
AIRMODE,"Hank, Willistic, KADO"
Chưa Thấy Đâu (lofi Version),RPT TC
Đưa Anh Về,Phan Mạnh Quỳnh
Đừng Vì Buồn Mà Yêu,"ICM, Ari"
Kíu,Karik
Nếu Nói Ra Lời Yêu Ấy (Acoustic Version),Ân Nhi
Vì Si Mê (Remix),Chung Thanh Duy
Khô Cạn Tình Yêu,"Jemy, Imprfct"
Ngồi Nhìn Em Khóc,Sáo
Xích Lại Gần Em,"Đinh Trang, Quỳnh Gai, CM1X"
Về Quê,"Lãng, Đặng Thái Bình, RAP VIỆT"
Hãy Để Anh Yêu Em Lần Nữa (Remix),"Luke D, Orinn"
Tiếc Nuối,"Sean, Darki"
GỬI CHỒNG TƯƠNG LAI,"Trang Pháp, JSOL"
Moonlit Floor (Kiss Me),LISA
HÀNH TRÌNH KHÔNG DỪNG,"RAP VIỆT, MANBO"
Happy Mistake,Lady Gaga
RỨA THÂU,"RAP VIỆT, 7dnight"
Na,HWASA
ĐÓA PHÙ DUNG CUỐI CÙNG,"ANH TRAI SAY HI, Đức Phúc"
TRÓI EM LẠI,"ANH TRAI SAY HI, Quang Hùng MasterD"
QUAY ĐI QUAY LẠI,"HIEUTHUHAI, ANH TRAI SAY HI"
Fadeaway,Young Cocoa
Hừng Đông (In Da Club),Hồ Ngọc Hà
Ngàn Lần Khắc Tên Anh,"Annie, Nguyễn Hồng Thuận"
SOS,"ANH TRAI SAY HI, RHYDER, CAPTAIN BOY, Quang Hùng MasterD, WEAN, Ali Hoàng Dương"
"Quá Khứ Đôi, Hiện Tại Đơn",Đức Phúc
La Bebe (David Guetta Remix),"Yng Lvcas, Peso Pluma, David Guetta"
Cụp Cái Pha Xuống,Willistic
Khi Một Người Bước Ra Khỏi Cuộc Đời Một Người,Trương Thảo Nhi
232 Tuổi (Hoành Tráng Ver.),The Flob
Vô Tree,Keyo
NGÂN NGA,"ANH TRAI SAY HI, Isaac, HURRYKNG, Negav, Gin Tuấn Kiệt, Vũ Thảo My"
Chiếc Khăn Piêu (feat. Đinh Nhật Minh Flute),"Cường Seven, SOOBIN, Tự Long, Tuấn Hưng, Jun Phạm, Thanh Duy, (S)TRONG, Đăng Khôi"
Die With A Smile,"Lady Gaga, Bruno Mars"
You & Me,JENNIE
Home Is Where The Hurt Is,LANY
The Peak,SEKAI NO OWARI
DELRESTO (ECHOES),"Beyoncé, Travis Scott"
Xóa Tên Anh Đi,Jack - J97
Paint The Town Red,Doja Cat
Dance Around It (Joel Corry Vip Mix),"Joel Corry, Caity Baser"
Float (Feat. Seun Kuti & Egypt 80),Janelle Monáe
Anh Sẽ Nhớ Mãi,"Bùi Công Nam, Tăng Phúc, Neko Lê, BB Trần, Thiên Minh"
Pony,Đang Cập Nhật
Jungle,"Alok, The Chainsmokers, Mae Stephens"
Hỏa,"Hoàng Tôn, 16 Typh"
Cupid (Twin Ver.) [Slowed Down Version],Đang Cập Nhật
LOVE YOU!,Đang Cập Nhật
Moonlight Sunrise,TWICE
Hero,"Martin Garrix, JVKE"
Unhealthy (Acoustic),Anne-Marie
Rodeo Remix (Feat. Flo Milli) [slowed + Reverb],Lah Pat
Phù Hộ Cho Con,"24k.Right, B Ray, Dick, Hipz"
Eyes On You (มองนานๆ),"Vitamin A - FLI:P, Hải Đăng Doo, Kelvin- Kesley Alves"
Crush (Explicit),"Bella Poarch, Lauv"
Call On Me,Bebe Rexha
Don't Say Love,Leigh-Anne
UNHEALTHY,"Anne-Marie, Shania Twain"
Satisfaction,Darin
Voices (Feat. Oliver Tree),KSI
Vẫn,"24k.Right, Hipz, Huỳnh Tú"
Butterflies,Stray Kids
MỘNG YU,"AMEE, MCK"
Oh U Went (Explicit),"Young Thug, Drake"
Mirage (For Assassin's Creed Mirage),"OneRepublic, Assassin's Creed, Mishaal Tamer"
Can’t Forget You,"James Carter, Ofenbach"
Ngày Em Nói,T.R.I
Break My Soul (The Queens Remix),"Beyoncé, Madonna"
Be Who You Are (Real Magic),"Jon Batiste, JID, NewJeans, Camilo"
Tip Toe,HYBS
Pandora,MAVE:
id thang máy,"W/n, 267"
WOMAN’S WORLD,Katy Perry
Dìu Em Lên Mây,"Only C, Nguyễn Phúc Thiện"
Hỏa Ca,Call Me By Fire - Anh Trai Vượt Ngàn Chông Gai 2024
SÓNG VỖ VỠ BỜ,"ANH TRAI SAY HI, Anh Tú, JSOL, ERIK, Dương Domic, Phạm Anh Duy"
‘anhduong’ (feat. Ninh Dương Story),Lâm Phúc
BUSINESS MODE,"$A Milo, Gxxfy, Obito, B-Wine"
"You're On Your Own, Kid",Taylor Swift
One More Time,Mahiru Coda
Bất Nhiễm / 不染 (Hương Mật Tựa Khói Sương OST),Mao Bất Dịch (Mao Bu Yi)
