Product_Name,Product_Link,New_Price,Old_Price,screen_size,cpu,os,internal_storage,ram,battery_capacity,color,product_condition,brand,main_camera,selfie_camera,resolution,fast_charging
iPhone 16 Pro Max 256GB Chính Hãng VN/A,https://clickbuy.com.vn/iphone-16-pro-max.html,29.990.000 ₫,35.990.000 ₫,"6,9 inch",Apple A18 Pro,iOS,256GB,,,"Black Titanium, White Titanium, Natural Titanium, Desert Titanium",Mới 100%,Apple,48MP - 12MP - 12MP,,,
iPhone 16 Pro Max 512GB Chính Hãng VN/A,https://clickbuy.com.vn/iphone-16-pro-max-512gb.html,36.390.000 ₫,Liên hệ,"6,9 inch",Apple A18 Pro,iOS,512GB,,,"Black Titanium, White Titanium, Natural Titanium, Desert Titanium",New,Apple,48MP - 12MP - 12MP,,,
iPhone 16 Pro Max 1TB Chính Hãng VN/A,https://clickbuy.com.vn/iphone-16-pro-max-1tb.html,42.190.000 ₫,Liên hệ,"6,9 inch",Apple A18 Pro,iOS,1TB,,,"Black Titanium, White Titanium, Natural Titanium, Desert Titanium",New,Apple,48MP - 12MP - 12MP,,,
Samsung Galaxy S25 Ultra (5G) 12GB 256GB - 1 đổi 1 12 tháng,https://clickbuy.com.vn/samsung-galaxy-s25-ultra.html,25.490.000 ₫,33.990.000 ₫,6.9 inches,Snapdragon 8 Elite For Galaxy (3nm),Android,256GB,12GB,5000 mAh,"Titanium Silver, Titanium Black, Titanium Gray, Titanium White",New,Samsung,50MP - 200MP - 50MP - 10MP,12MP,3120 x 1440 pixels (Quad HD+),45W
Samsung Galaxy S25 Ultra (5G) 12GB 512GB - 1 đổi 1 12 tháng,https://clickbuy.com.vn/samsung-galaxy-s25-ultra-5g-512gb-chinh-hang.html,30.290.000 ₫,37.490.000 ₫,6.9 inches,Snapdragon 8 Elite For Galaxy (3nm),Android,512GB,12GB,5000 mAh,"Titanium Silver, Titanium Black, Titanium Gray, Titanium White",New,Samsung,50MP - 200MP - 50MP - 10MP,12MP,3120 x 1440 pixels (Quad HD+),45W
Samsung Galaxy S25 Ultra (5G) 12GB 1TB - 1 đổi 1 12 tháng,https://clickbuy.com.vn/samsung-galaxy-s25-ultra-5g-1tb-chinh-hang.html,36.290.000 ₫,44.790.000 ₫,6.9 inches,Snapdragon 8 Elite For Galaxy (3nm),Android,1TB,12GB,5000 mAh,"Titanium Silver, Titanium Black, Titanium Gray, Titanium White",New,Samsung,50MP - 200MP - 50MP - 10MP,12MP,3120 x 1440 pixels (Quad HD+),45W
Samsung Galaxy S24 Ultra (5G) 12GB 256GB - 1 đổi 1 12 tháng,https://clickbuy.com.vn/samsung-galaxy-s24-ultra.html,21.990.000 ₫,33.990.000 ₫,6.8 inches,Snapdragon 8 Gen 3 (4 nm),"Android 14, One UI 6.1",256GB,12GB,5000mAh,"Black, Purple, Gray, Yellow",New,Samsung,200MP - 50MP - 10MP - 12MP,12MP,1440 x 3088 pixels,45W
Samsung Galaxy S24 Ultra (5G) 12GB 512GB - 1 đổi 1 12 tháng,https://clickbuy.com.vn/samsung-galaxy-s24-ultra-512gb.html,24.490.000 ₫,37.490.000 ₫,6.8 inches,Snapdragon 8 Gen 3 (4 nm),"Android 14, One UI 6.1",512GB,12GB,5000 mAh,"Black, Purple, Gray, Yellow",New,Samsung,200MP - 50MP - 10MP - 12MP,12MP,1440 x 3088 pixels,45W
TECNO Camon 40 (8+8GB/256GB) - Lỗi 1 đổi 1 12 tháng,https://clickbuy.com.vn/tecno-camon-40-8gb-256gb-loi-1-doi-1-12-thang.html,5.690.000 ₫,6.490.000 ₫,"AMOLED, 6.78 inches, 120Hz",Mediatek Helio G100 Ultimate (6 nm),"Android 15, HIOS 15",256GB,8GB,5200 mAh,"Galaxy Black, Emerald Glow Green, Glacier White, Emerald Lake Green",New,TECNO,50 MP - 8 MP,32 MP,1080 x 2436 pixels,45W
TECNO Camon 40 Pro (8+8GB/256GB) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/tecno-camon-40-pro-chinh-hang.html,5.990.000 ₫,6.990.000 ₫,"AMOLED, 6.78 inches, 120Hz",Mediatek Helio G100 Ultimate (6 nm),"Android 15, HIOS 15",256GB,8GB,5200 mAh,"Glacier White, Galaxy Black, Emerald Lake Green",New,TECNO,50 MP - 8 MP,50 MP,1080 x 2436 pixels,45W
