Rank,Book
0,Wolf Hall
1,Gilead
2,Secondhand Time
3,Never Let Me Go
4,Austerlitz
5,The Amber Spyglass
6,Between the World and Me
7,Autumn
8,Cloud Atlas
9,Half of a Yellow Sun
10,My Brilliant Friend
11,The Plot Against America
12,Nickel and Dimed
13,Fingersmith
14,The Sixth Extinction
15,The Corrections
16,The Road
17,The Shock Doctrine
18,The Curious Incident of the Dog in the Night‑Time
19,Life After Life
20,Sapiens
21,Tenth of December
22,The Noonday Demon
23,A Visit from The Goon Squad
24,Normal People
25,Capital in the Twenty First Century
26,"Hateship, Friendship, Courtship, Loveship, Marriage"
27,Rapture
28,A Death in the Family
29,The Underground Railroad
30,The Argonauts
31,The Emperor of All Maladies
32,Fun Home
33,by Rachel
34,Outline
35,The Hare with Amber Eyes
36,Experience
37,The Green Road
38,The Line of Beauty
39,White Teeth
40,The Year of Magical Thinking
41,Atonement
42,Moneyball
43,Citizen: An American Lyric
44,Hope in the Dark
45,Levels of Life
46,Human Chain
47,Persepolis
48,Night Watch
49,
50,Why Be Happy When You Could Be Normal?
51,Oryx and Crake
52,Brooklyn
53,Small Island
54,True History of the Kelly Gang
55,& Power
56,Women
57,The Omnivore’s Dilemma
58,Underland
59,The Amazing Adventures of Kavalier and Clay
60,Postwar
61,The Beauty of the Husband
62,Dart
63,This House of Grief
64,Mother’s Milk
65,The Immortal Life of Henrietta Lacks
66,On Writing
67,Gone Girl
68,Seven Brief Lessons on Physics
69,The Silence of the Girls
70,The Constant Gardener
71,
72,The Infatuations
73,Notes on a Scandal
74,The Smartest Kid on Earth
75,Jimmy Corrigan:
76,The Age of Surveillance Capitalism
77,Nothing to Envy
78,Days Without End
79,Drive Your Plow Over the Bones of the Dead
80,"Thinking, Fast and Slow"
81,Signs Preceding the End of the World
82,The Fifth Season
83,The Spirit Level
84,Stories of Your Life and Others
85,Harvest
86,Coraline
87,Tell Me How It Ends
88,The Cost of Living
89,The God Delusion
90,Adults in the Room
91,Priestdaddy
92,& Crosses
93,Noughts
94,Bad Blood
95,Visitation
96,Light
97,The Siege
98,Darkmans
99,The Tipping Point
100,Chronicles: Volume One
101,A Little Life
102,Harry Potter and the Goblet of Fire
103,With the Dragon Tattoo
104,The Girl
105,Broken Glass
106,I Feel Bad About My Neck
