Name,Price (new),Price (old),Price (original),Description,Sold,Discount,Discount Rate,Rating,Review Count,Author,Công ty phát hành,Loại bìa,Số trang,Nhà xuất bản,Ngày xuất bản,Kích thước,Phương thức giao hàng Seller Delivery,Bookcare,Dịch Giả,Ngôn ngữ,ISBN-13,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ (Made in),Sản phẩm có được bảo hành không?,Hình thức bảo hành,Thời gian bảo hành,Chất liệu,Phiên bản sách,ISBN-10
Cuộc đời và sự nghiệp Đại tướng Võ Nguyên Giáp,256000,256000,256000,"Đại tướng Võ Nguyên Giáp là nhà lãnh đạo có uy tín lớn của Đảng, Nhà nước và nhân dân ta; người học trò xuất sắc và gần gũi của Chủ tịch Hồ Chí Minh; người chiến sĩ cách mạng kiên trung; vị Đại tướng ...",9,0,0,0.0,0,N/A,Trung tâm giới thiệu sách Thành phố Hồ Chí Minh,Bìa cứng,392,Nhà Xuất Bản Hồng Đức,,,,,,,,,,,,,,,,
Đạo Phật Của Tuổi Trẻ ,125000,139000,139000,"Đạo Phật Của Tuổi Trẻ Đạo Phật của tuổi trẻ là tổng hợp các bài giảng của Sư ông Thích Nhất Hạnh cho Gia đình Phật tử Việt Nam tại Hoa Kỳ trong các khóa tu năm 1997, 1998, và 1999 tại chùa Vạn Hạnh, ...",2,14000,10,0.0,0,N/A,Thái Hà,Bìa mềm,376,Nhà Xuất Bản Thế Giới,2016-10-05 00:00:00,15.5 x 24 cm,,,,,,,,,,,,,,
48 Nguyên Tắc Chủ Chốt Của Quyền Lực (Tái Bản 2020),152000,200000,200000,"Quyền lực có sức hấp dẫn vô cùng mạnh mẽ đối với con người trong mọi thời, ở mọi nơi, với mọi giai tầng. Lịch sử xét cho cùng là cuộc đấu tranh triền miên để giành cho bằng được quyền lực cai trị của ...",727,48000,24,4.8,82,Robert Greene,NXB Trẻ,,,NXB Trẻ,,,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Luật Nhà Ở Và Văn Bản Hướng Dẫn Thi Hành,270000,450000,450000," Ngày 27-11- 2023 tại Kỳ họp thứ 6, Quốc hội khóa XV thông qua Luật Nhà ở số 27/2023/QH15. Luật Nhà ở năm 2023 gồm 13 Chương và 198 Điều với nhiều quy định mới về quản lý, phát triển nhà ở, siết ch...",6,180000,40,0.0,0,Thu Phương,CÔNG TY TNHH TMDV SÁCH LUẬT VIỆT,Bìa mềm,475,Nhà Xuất Bản Lao Động,2024-08-09 21:57:41,,,,,,,,,,,,,,,
LỮ KHÁCH VEN ĐƯỜNG - Tâm An,79000,118000,118000,"LỮ KHÁCH VEN ĐƯỜNG Mỗi một người bước đến cuộc đời mình đều có ý nghĩa và giá trị khác nhau. Họ như là một lữ khách, dù cho có ở lại với mình đến hết cuộc đời hay không. Tâm An cũng vậy, cậu luôn ch...",157,39000,33,4.7,14,Tâm An,SBOOKS,Bìa mềm,208,Nhà Xuất Bản Văn Học,2022-04-07 10:26:08,,,,,,,,,,,,,,,
Ánh Sao Bên Tôi - Tập 1,131250,175000,175000,"Tử Tinh và Tư Nam là đôi bạn thân từ nhỏ, nhưng lại giống như hai cực nam châm trái dấu. Tử Tinh hoạt bát, tinh nghịch, tươi sáng như ánh sao lấp lánh. Còn cậu bạn thân Tư Nam, lại mang vẻ ngoài điềm ...",56,43750,25,5.0,4,Khuyển Nhất,Daisy Comics,Bìa mềm,224,Nhà Xuất Bản Văn Học,2025-06-16 00:00:00,14.5 x 20.5cm,,Có,Nguyễn Thảo Nguyên,,,,,,,,,,,
Sống cuộc đời giàu có nhất của bạn (Robin Sharma),146000,200000,200000,"Xã hội ngày nay đã nhồi vào tâm trí chúng ta một định nghĩa thành công nông cạn: một kiểu thành công mà dù có đạt được nó bạn cũng không bao giờ thấy thỏa mãn, mà thậm chí còn rơi vào trạng thái bức b...",182,54000,27,5.0,5,Robin Sharma,NXB Trẻ,Bìa mềm,496,NXB Trẻ,2025-05-19 00:00:00,19*26.4,,,Thiên Kim - Thanh Trâm - Vân Trình,,,,,,,,,,,
Sách - Búp Sen Xanh - Bìa Cứng - Tặng Kèm Obi + Postcard Hành Trình Cứu Nước - Độc Quyền Fahasa,99000,110000,110000,"Búp Sen Xanh“Búp Sen Xanh” là cuốn tiểu thuyết nổi tiếng nhất của nhà văn Sơn Tùng - người đã dành trọn cuộc đời m.ình để viết về Bác Hồ và các vị anh hùng, những nhà cách mạng lỗi lạc của dân tộc. T...",402,11000,10,4.8,49,Sơn Tùng,Nhà Xuất Bản Kim Đồng,Bìa mềm,,Nhà Xuất Bản Kim Đồng,2023-12-21 14:00:00,,Nhà bán giao hàng cho khách hàng,,,Tiếng Việt,,,,,,,,,,
Tư duy dã tràng - Tim trí giao tranh,120000,160000,160000,"Cuốn sách là viên gạch nối chúng ta với nhau, với xã hội chung quanh, với môi trường toàn cầu, tạo nên một thói quen mà chúng ta đã mất đi hoặc chưa bao giờ có: đó là khả năng lập luận, khả năng minh ...",333,40000,25,5.0,15,Phan Văn Trường,NXB Trẻ,Bìa mềm,332,NXB Trẻ,2025-04-24 00:00:00,"19,3 x 23,5 cm",,,,,,,,,,,,,,
Sách - Dtpbooks - Bộ đề thi thử Tuyển sinh lớp 10,89000,89000,89000,Bộ sách chinh phục kỳ thi tuyển sinh 10:- Trọn bộ 18 đề thi thử TUYỂN SINH LỚP 10 năm 2025-2026- Viết theo Khung CT bộ GD & ĐT và tiệm cận tốt nhất với đề các Sở Giáo dục và Đào tạo trên cả nước...,17,0,0,5.0,1,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Bìa mềm,,Nhà Xuất Bản Đại Học Huế,2025-04-10 14:17:32,,,,,,9786044898148,,,,,,,,,
Combo 2 Cuốn Sách Về Thiền: Thực Hành Thiền Định + Thiền - Osho,214000,214000,214000,1. Thực Hành Thiền ĐịnhNếu như học thiền là một con đường mà ngay cả các bậc cao minh nhất đã theo đuổi trong suốt cuộc đời của họ thì thực hành thiền trong cuộc sống hàng ngày sẽ làm thay đổi cách n...,0,0,0,0.0,0,N/A,Thái Hà,,,Nhà Xuất Bản Hà Nội,,,,,,,,,,,,,,,,
Premier League (Lịch sử giải ngoại hạng Anh và sự phát triển của chiến thuật bóng đá),276750,276750,276750,"Cuốn sách này kể lại lịch sử Premier League - giải Ngoại hạng Anh - giải đấu ra đời từ mùa bóng 1992-1993, là giải vô địch bóng đá hạng cao nhất tại nước Anh, quê hương của bóng đá. Không chỉ tường th...",1,0,0,5.0,1,Michael Cox,DT Books,Bìa mềm,611,Nhà Xuất Bản Đà Nẵng,2023-04-30 15:25:07,,,,,,,,,,,,,,,
Kính lúp đọc sách cỡ lớn Carson DM-11 MagniSheet - Hàng chính hãng,316000,316000,316000,Mẫu DM-11 MagniSheet của Carson Optical là một kính lúp hình chữ nhật phù hợp khi xem toàn trang. Thiết bị lúp này được trang bị thấu kính Fresnel cho độ phóng đại gấp 2 lần và viền đen. DM-11 MagniSh...,54,0,0,4.2,15,N/A,,,,,,,,,,,,Carson,China,Mỹ,Có,Phiếu bảo hành,12 Tháng,,,
"Sách Data Analysis Chính Hãng, Bộ 2 Cuốn Từ Cơ Bản Đến Nâng Cao, Có Tặng Kèm Video Hướng Dẫn",379000,536000,536000,THÔNG TIN SẢN PHẨM- Sách Tự Tin Chinh Phục Data Analysis Ứng Dụng Thực Tế Thành Thạo Sau 30 Ngày sẽ giúp bạn Nắm vững Quy trình phân tích và Tư duy làm việc với dữ liệu. Thành thạo các phần mềm/ c...,168,157000,29,4.2,16,"
Christian Stang",Nhà Xuất Bản Dân Trí,Bìa cứng,232,Nhà Xuất Bản Dân Trí,2024-07-04 11:32:54,,,,,,,,,,,,,,,
