Diện tích,Phòng ngủ,WC,Giá gốc,Loại,Ngày đăng
200 m²,,,35500000000,Nhà mặt tiền,2025-06-27
42 m²,6 PN,4 WC,5950000000,"Nhà hẻm, ngõ",2025-06-27
"61,1 m²",,,3590000000,Đất thổ cư,2025-06-27
1.710 m²,,,98000000000,Nhà mặt tiền,2025-06-27
68 m²,,,23950000000,"Nhà hẻm, ngõ",2025-06-27
70 m²,4 PN,3 WC,8299000000,"Nhà hẻm, ngõ",2025-06-27
144 m²,31 PN,32 WC,22000000000,"Nhà hẻm, ngõ",2025-06-27
117 m²,5 PN,6 WC,26000000000,"Nhà hẻm, ngõ",2025-06-27
100 m²,5 PN,7 WC,9500000000,"Nhà hẻm, ngõ",2025-06-27
55 m²,3 PN,3 WC,7900000000,Nhà mặt tiền,2025-06-27
73 m²,2 PN,1 WC,4900000000,Chung cư,2025-06-27
100 m²,,,12600000000,"Biệt thự, Villa",2025-06-27
100 m²,4 PN,5 WC,17500000000,Nhà mặt tiền,2025-06-27
60 m²,3 PN,3 WC,890000000,Nhà mặt tiền,2025-06-27
63 m²,5 PN,4 WC,20400000000,Nhà mặt tiền,2025-06-27
13 m²,2 PN,2 WC,3950000000,"Nhà hẻm, ngõ",2025-06-27
95 m²,3 PN,2 WC,8500000000,"Nhà hẻm, ngõ",2025-06-27
"43,4 m²",1 PN,1 WC,3450000000,Chung cư,2025-06-27
119 m²,4 PN,3 WC,23000000000,Nhà mặt tiền,2025-06-27
120 m²,,,16800000000,Đất thổ cư,2025-06-27
60 m²,,,4320000000,Đất thổ cư,2025-06-27
67 m²,,,2900000000,Chung cư,2025-06-27
44 m²,6 PN,4 WC,6050000000,Nhà mặt tiền,2025-06-27
52 m²,4 PN,5 WC,18300000000,"Nhà hẻm, ngõ",2025-06-27
40 m²,9 PN,10 WC,10789000000,"Nhà hẻm, ngõ",2025-06-27
1.600 m²,,,1500000000,Đất thổ cư,2025-06-27
120 m²,3 PN,2 WC,630000000,Nhà mặt tiền,2025-06-27
80 m²,,,29600000000,Nhà mặt tiền,2025-06-27
"35,2 m²",,,7250000000,"Nhà hẻm, ngõ",2025-06-27
"67,5 m²",20 PN,21 WC,30000000000,"Nhà hẻm, ngõ",2025-06-27
69 m²,6 PN,6 WC,22900000000,Nhà mặt tiền,2025-06-27
"18,5 m²",2 PN,2 WC,1980000000,"Nhà hẻm, ngõ",2025-06-27
84 m²,5 PN,3 WC,8700000000,Nhà mặt tiền,2025-06-27
60 m²,,,39500000000,Nhà mặt tiền,2025-06-27
28 m²,,,16700000000,Nhà mặt tiền,2025-06-27
"85,4 m²",3 PN,2 WC,720000000,Nhà mặt tiền,2025-06-27
180 m²,,,40000000000,"Biệt thự, Villa",2025-06-27
52 m²,5 PN,4 WC,18500000000,"Nhà hẻm, ngõ",2025-06-27
32 m²,1 PN,1 WC,5700000000,Nhà mặt tiền,2025-06-27
39 m²,4 PN,4 WC,2250000000,"Nhà hẻm, ngõ",2025-06-27
56 m²,4 PN,4 WC,6800000000,"Nhà hẻm, ngõ",2025-06-27
80 m²,7 WC,,65000000000,Nhà mặt tiền,2025-06-27
"42,1 m²",,,29000000000,"Nhà hẻm, ngõ",2025-06-27
"45,5 m²",2 PN,1 WC,1250000000,Chung cư,2025-06-27
80 m²,3 PN,3 WC,1050000000,Nhà mặt tiền,2025-06-27
41 m²,3 PN,3 WC,7800000000,"Nhà hẻm, ngõ",2025-06-27
55 m²,4 PN,3 WC,10990000000,"Nhà hẻm, ngõ",2025-06-27
"52,5 m²",6 PN,5 WC,12500000000,"Nhà hẻm, ngõ",2025-06-27
"61,6 m²",,,12000000000,"Nhà hẻm, ngõ",2025-06-27
"52,5 m²",2 PN,2 WC,1600000000,"Nhà hẻm, ngõ",2025-06-27
"57,3 m²",,,13000000000,"Nhà hẻm, ngõ",2025-06-27
120 m²,3 PN,2 WC,8000000000,Chung cư,2025-06-27
"45,6 m²",2 PN,2 WC,2500000000,"Nhà hẻm, ngõ",2025-06-27
136 m²,6 PN,6 WC,19500000000,Nhà mặt tiền,2025-06-27
48 m²,2 PN,2 WC,4500000000,"Nhà hẻm, ngõ",2025-06-27
"41,6 m²",1 PN,1 WC,8000000000,Nhà mặt tiền,2025-06-27
30 m²,,,6500000000,"Nhà hẻm, ngõ",2025-06-27
53 m²,,,2750000000,Đất thổ cư,2025-06-27
30 m²,,,750000000,"Nhà hẻm, ngõ",2025-06-27
40 m²,3 PN,4 WC,7500000000,"Nhà hẻm, ngõ",2025-06-27
18 m²,,,6000000000,"Nhà hẻm, ngõ",2025-06-27
53 m²,,,16500000000,"Nhà hẻm, ngõ",2025-06-27
40 m²,,,8950000000,Nhà mặt tiền,2025-06-27
40 m²,,,5850000000,"Nhà hẻm, ngõ",2025-06-27
160 m²,,,2960000000,"Đất dự án, Khu dân cư",2025-06-27
36 m²,1 PN,1 WC,1380000000,Chung cư,2025-06-27
120 m²,3 PN,4 WC,2500000000,"Nhà hẻm, ngõ",2025-06-27
36 m²,2 PN,2 WC,6800000000,Nhà mặt tiền,2025-06-27
"531,1 m²",,,9200000000,Nhà mặt tiền,2025-06-27
240 m²,7 PN,6 WC,127000000000,"Nhà hẻm, ngõ",2025-06-27
26 m²,,,3450000000,"Nhà hẻm, ngõ",2025-06-27
50 m²,5 PN,6 WC,18680000000,"Nhà hẻm, ngõ",2025-06-27
125 m²,,,2000000000,Đất thổ cư,2025-06-27
"9.908,9 m²",,,10900000000,"Đất nông nghiệp, kho bãi",2025-06-27
108 m²,5 WC,,36000000000,Nhà mặt tiền,2025-06-27
309 m²,,,19000000000,"Nhà hẻm, ngõ",2025-06-27
47 m²,4 PN,3 WC,6800000000,Nhà mặt tiền,2025-06-27
22 m²,3 PN,3 WC,2200000000,"Nhà hẻm, ngõ",2025-06-27
37 m²,3 PN,4 WC,7800000000,"Nhà hẻm, ngõ",2025-06-27
144 m²,,,123456789,"Nhà hẻm, ngõ",2025-06-27
115 m²,,,14600000000,"Nhà hẻm, ngõ",2025-06-27
84 m²,5 PN,7 WC,7750000000,"Nhà hẻm, ngõ",2025-06-27
72 m²,2 PN,2 WC,830000000,"Nhà hẻm, ngõ",2025-06-27
"285,2 m²",,,350000000000,Nhà mặt tiền,2025-06-27
"224,4 m²",,,290000000000,Nhà mặt tiền,2025-06-27
260 m²,,,115000000000,"Biệt thự, Villa",2025-06-27
"68,8 m²",7 PN,,31000000000,Nhà mặt tiền,2025-06-27
"154,8 m²",,,46000000000,Nhà mặt tiền,2025-06-27
400 m²,,,220000000000,Nhà mặt tiền,2025-06-27
400 m²,,,245000000000,Nhà mặt tiền,2025-06-27
"90,5 m²",,,95000000000,Nhà mặt tiền,2025-06-27
74 m²,7 PN,,85000000000,Nhà mặt tiền,2025-06-27
669 m²,,,780000000000,Nhà mặt tiền,2025-06-27
300 m²,15 PN,16 WC,28000000000,Nhà mặt tiền,2025-06-27
300 m²,,,5900000000,Nhà mặt tiền,2025-06-27
336 m²,,,350000000000,Nhà mặt tiền,2025-06-27
1.147 m²,,,1800000000000,Nhà mặt tiền,2025-06-27
200 m²,,,46000000000,"Đất dự án, Khu dân cư",2025-06-27
336 m²,,,350000000000,Nhà mặt tiền,2025-06-27
90 m²,6 PN,6 WC,42000000000,Nhà mặt tiền,2025-06-27
67 m²,,,2900000000,Chung cư,2025-06-27
49 m²,2 PN,2 WC,19500000000,Nhà mặt tiền,2025-06-27
150 m²,3 PN,2 WC,2500000000,Nhà mặt tiền,2025-06-27
"13,5 m²",1 PN,1 WC,780000000,"Nhà hẻm, ngõ",2025-06-27
40 m²,1 PN,1 WC,950000000,"Nhà hẻm, ngõ",2025-06-27
15 m²,1 PN,1 WC,690000000,"Nhà hẻm, ngõ",2025-06-27
27 m²,2 PN,2 WC,2550000000,"Nhà hẻm, ngõ",2025-06-27
"52,4 m²",2 PN,1 WC,3380000000,"Nhà hẻm, ngõ",2025-06-27
231 m²,6 PN,6 WC,20000000000,Nhà mặt tiền,2025-06-27
80 m²,6 PN,6 WC,42000000000,Nhà mặt tiền,2025-06-27
355 m²,,,125000000000,Nhà mặt tiền,2025-06-27
